ottol_name.id,ottol_name.uid,ottol_name.parent_uid,ottol_name.accepted_uid,ottol_name.preottol_taxid,ottol_name.preottol_parent_taxid,ottol_name.preottol_source,ottol_name.preottol_source_taxid,ottol_name.ncbi_taxid,ottol_name.gbif_taxid,ottol_name.namebank_taxid,ottol_name.treebase_taxid,ottol_name.name,ottol_name.unique_name,ottol_name.rank,ottol_name.comments,ottol_name.mtime
1813612,<NULL>,<NULL>,<NULL>,100820714,100820718,U4,3-153043016,<NULL>,<NULL>,<NULL>,<NULL>,Pinus caribaea hondurensis,Pinus caribaea hondurensis,subspecies,<NULL>,2012-10-22 18:13:12
1813994,<NULL>,<NULL>,<NULL>,100661464,100078099,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Belloa longifolia,Belloa longifolia,species,<NULL>,2012-10-22 18:13:12
1815272,<NULL>,<NULL>,<NULL>,100712535,101886574,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Novafabricia gerdi,Novafabricia gerdi,species,<NULL>,2012-10-22 18:13:12
1816856,<NULL>,<NULL>,<NULL>,101010915,101470431,NCBI,143041,<NULL>,<NULL>,<NULL>,<NULL>,Sorghum x,Sorghum x,species,<NULL>,2012-10-22 18:13:12
1821429,<NULL>,<NULL>,<NULL>,100943172,100943173,U4,101585,<NULL>,<NULL>,<NULL>,<NULL>,Mycetinis alliaceus,Mycetinis alliaceus,species,<NULL>,2012-10-22 18:13:12
1823816,<NULL>,<NULL>,<NULL>,101865152,101014510,U4,3-24314,<NULL>,<NULL>,<NULL>,<NULL>,Loliolum,Loliolum,genus,<NULL>,2012-10-22 18:13:12
1825941,<NULL>,<NULL>,<NULL>,100249952,101918741,U4,3-89636016,<NULL>,<NULL>,<NULL>,<NULL>,Thlaspi parviflorum,Thlaspi parviflorum,species,<NULL>,2012-10-22 18:13:12
1827274,<NULL>,<NULL>,<NULL>,100240407,101806405,U4,3-15792,<NULL>,<NULL>,<NULL>,<NULL>,Aistopetalum,Aistopetalum,genus,<NULL>,2012-10-22 18:13:12
1837206,<NULL>,<NULL>,<NULL>,100680416,101214136,U4,3-55088016,<NULL>,<NULL>,<NULL>,<NULL>,Ficus donnell-smithii,Ficus donnell-smithii,species,<NULL>,2012-10-22 18:13:12
1839596,<NULL>,<NULL>,<NULL>,100328585,101089835,U4,3-137753016,109070,<NULL>,<NULL>,<NULL>,Alnus incana rugosa,Alnus incana rugosa,subspecies,<NULL>,2012-12-07 13:50:40
